"gene","lof_observed","mis_observed","prot_observed","lof_pValue","lof_qValue","mis_pValue","mis_qValue","prot_pValue","prot_qValue"
"KMT2E",2,0,2,0.0276,1,1,1,0.57,1
"TAF1",0,5,5,1,1,0.045,1,0.0734,1
"MYH9",0,6,6,1,1,0.047,1,0.0663,1
"NCKAP1",2,2,4,0.0619,1,0.257,1,0.0517,1
"RELN",1,7,8,0.475,1,0.0566,1,0.0528,1
"DLX3",0,2,2,1,1,0.0591,1,0.0661,1
"PHF7",1,1,2,0.0609,1,0.282,1,0.0599,1
"WNT9A",1,0,1,0.0626,1,1,1,0.444,1
"AGO3",0,3,3,1,1,0.0635,1,0.0859,1
"HNRNPF",0,2,2,1,1,0.0788,1,0.0847,1
"EPHB2",1,0,1,0.0806,1,1,1,0.773,1
"MAPK3",0,2,2,1,1,0.0873,1,0.101,1
"DDX23",0,3,3,1,1,0.0973,1,0.13,1
"GIGYF2",1,3,4,0.395,1,0.129,1,0.0994,1
"MEF2D",0,2,2,1,1,0.124,1,0.168,1
"ILF2",1,0,1,0.141,1,1,1,0.404,1
"EIF3B",0,2,2,1,1,0.197,1,0.222,1
"NCOR1",1,3,4,0.242,1,0.433,1,0.283,1
"RANBP2",1,1,2,0.31,1,0.932,1,0.81,1
"WNT7B",0,1,1,1,1,0.46,1,0.481,1
"HNRNPR",0,1,1,1,1,0.474,1,0.505,1
"HNRNPUL1",0,1,1,1,1,0.665,1,0.706,1
"AHNAK",0,3,3,1,1,0.892,1,0.902,1
