"gene","dnLGD","dnMIS","dnMIS30","dnLGD_pValue","dnLGD_qValue","dnMIS_pValue","dnMIS_qValue","dnMIS30_pValue","dnMIS30_qValue","dnALT_pValue","dnALT_qValue"
"MEF2D",0,2,2,1,1,0.0394479420785126,1,0.000657151091190848,0.401625308829091,0.049304334270097,1
"MEIS2",3,1,0,1.95092495131279e-16,2.05345689597623e-13,7.90417161385348e-05,0.0599009741584272,1,1,2.68286802263159e-18,3.63068696834129e-15
"MSL3",5,0,0,2.45447609509567e-08,1.36772070875537e-05,1,1,1,1,0.000868448533178318,0.269731572288466
"MYH9",0,6,3,1,1,0.634509975094773,1,0.177726621224319,1,0.754088989609097,1
"MYT1L",7,8,1,4.65220597009202e-09,2.7543966971676e-06,0.000568495405787581,0.371403929587983,0.147565099961116,1,4.6310309038724e-09,2.58057386778725e-06
"NAA15",5,2,0,1.00121488630068e-08,5.7481870411675e-06,0.0670801628014671,1,1,1,8.36907385448337e-07,0.000360364711925095
"NCKAP1",2,2,1,0.0114663303749242,1,0.280614495628519,1,0.127547220050547,1,0.0341296098469719,1
"NCOR1",1,3,1,0.201906516204105,1,0.302436970887619,1,0.177250374855798,1,0.170578481938119,1
"NFIA",1,2,0,0.0274695650172366,1,0.0189002556202842,1,1,1,0.00184000631716336,0.520309846044432
"NR2E3",0,0,0,1,1,1,1,1,1,1,1
"NRXN1",1,7,1,0.212598858414954,1,0.00477808512034144,1,0.206648826947524,1,0.00232181426168514,0.637523086983865
"PACS2",0,6,4,1,1,0.00727835433025356,1,1.59570924080906e-05,0.0167957262646491,0.0131455497707474,1
"PASK",0,0,0,1,1,1,1,1,1,1,1
"PAX5",2,0,0,0.0023969364140927,0.667828783844121,1,1,1,1,0.119135913721505,1
"PHF12",4,2,0,1.0812081450944e-07,5.25245372229704e-05,0.0513403512177278,1,1,1,4.10916233290646e-06,0.00165642956509033
"PHF7",1,1,0,0.0960686869473753,1,0.467665398083152,1,1,1,0.166816592598133,1
"PHIP",5,7,2,8.84366972532682e-05,0.0293951169501828,0.0294959612714153,1,0.040742979279389,1,0.000195375098509003,0.0693873062262063
"POGZ",22,6,1,2.25576976155765e-53,1.42459379674904e-49,1.07066857201732e-06,0.00101424433827201,0.0179051603179537,1,5.21996093009378e-43,3.29657932605189e-39
"PPP2R5D",2,18,12,0.000111280704795235,0.036350417811216,3.08393478583047e-34,5.84282284523441e-30,9.30269698331601e-32,1.76248897045905e-27,1.27431307085946e-37,4.02385590675056e-34
"QRICH1",4,0,0,1.08368942418423e-06,0.000456257329568764,1,1,1,1,0.00328480263336437,0.876533390024244
"RANBP2",1,1,0,0.577938550603947,1,0.999084116184895,1,1,1,0.996575974962279,1
"RELN",1,7,3,0.661144043071451,1,0.646677171960546,1,0.0360110379541174,1,0.648158432102105,1
"SATB2",9,7,6,1.33787725595952e-15,1.26737112457046e-12,1.30288102946531e-05,0.0107323408627173,1.74705521166038e-10,5.51661800668626e-07,1.24842649581347e-15,1.24487833629906e-12
"SCN2A",26,28,6,7.18663602239474e-47,3.40395015200727e-43,6.79754161066998e-26,6.43931116778767e-22,1.93004284025759e-09,3.65665916515203e-06,1.20664132705047e-60,2.28610265822982e-56
"SCN8A",2,10,3,0.0127784975050717,1,3.27096463112843e-06,0.0028168952682436,0.000455120980317254,0.297335244589334,1.64838765101743e-07,7.80758810904404e-05
"SETBP1",4,4,1,4.67375425368785e-05,0.0160998087437036,0.134143786320651,1,0.0323989037519333,1,0.0016739647537384,0.480529336732239
"SETD2",6,2,1,4.50564342505172e-06,0.0017072784066206,0.844421873918169,1,0.256524562977472,1,0.0367751888220046,1
"SETD5",20,5,0,8.80464873438768e-32,1.51648068110645e-28,0.037350340327026,1,1,1,5.45100477164498e-19,8.60622803363215e-16
"SF3B1",0,5,1,1,1,0.000968150054382462,0.611419031011004,0.103972963792149,1,0.00153390875640686,0.447099004598222
"SHANK2",3,2,0,0.00281754522215896,0.762588739700337,0.77282787293034,1,1,1,0.201422422790346,1
"SIN3A",3,3,1,0.000446625200975886,0.136480017059502,0.0910891140574353,1,0.141123654386965,1,0.00150629069828897,0.445909118277856
"SLC6A1",5,12,9,1.22482260197824e-06,0.000504467152545213,1.05598594069848e-08,1.17686527249843e-05,1.34339801503196e-11,6.36300469819886e-08,3.44443267665415e-13,2.61032885967558e-10
"SMARCC2",5,2,0,2.74605044508077e-06,0.00106176881086735,0.446150121557524,1,1,1,0.00200101291474485,0.557517510040528
"SMARCD1",2,2,0,7.291553877905e-11,5.31329922195339e-08,3.14861959312119e-09,4.97114556760618e-06,1,1,2.91152209454562e-18,3.67744650688409e-15
"SPEN",4,5,2,0.00781302109068826,1,0.867728801059955,1,0.0279171816502183,1,0.443987156225063,1
"STXBP1",9,10,8,1.33787725595952e-15,1.26737112457046e-12,1.8566146851782e-09,3.19776562048965e-06,2.27826934592135e-13,2.15820455139129e-09,1.20778665880094e-20,2.08024782160387e-17
"SUV420H1",12,3,1,6.14833484783643e-22,9.70719600225908e-19,0.0404597989337125,1,0.0468581557755062,1,2.56802896604029e-14,2.21153985411815e-11
"TAB2",3,1,0,0.0142910734799812,1,0.992737314558806,1,1,1,0.789487474612662,1
"TAF1",0,5,5,1,1,0.236225423520428,1,6.46093763763488e-05,0.0556404202193775,0.314847131067206,1
"TBL1XR1",5,12,2,8.11854916774597e-12,6.40891802217146e-09,3.55037206412438e-21,2.24217830423002e-17,0.000184873191151549,0.14010429918229,6.56209432157104e-31,1.7760777002355e-27
"TBR1",4,3,1,1.96621298631377e-07,9.31296780967517e-05,0.00942806428259687,1,0.0261264012500888,1,7.01593771384187e-07,0.000309125478898716
"TCF12",4,1,0,1.55077161450092e-06,0.000625125936347541,0.464315285879631,1,1,1,0.000803192578320193,0.253621443147573
"TCF7L2",4,5,3,7.48957989126477e-06,0.00278230550235103,0.00234621742195213,1,0.000374709944078523,0.253544807161132,1.30726767856732e-06,0.000550388743069701
"TNPO2",0,5,4,1,1,0.0128943881147512,1,8.37712289661267e-06,0.00991956064995148,0.0213712466768121,1
"TNRC6B",3,3,0,0.00261530756366159,0.718110392770036,0.342323565312527,1,1,1,0.0320471387291993,1
"TRAF7",1,6,3,0.128367824264005,1,0.000433399512477664,0.293256684407208,2.38585653285432e-05,0.02152497041498,0.000131903695805813,0.048058604244941
"TRIO",1,14,6,0.394606134259678,1,4.40610610331368e-05,0.0347825359305754,1.13283645918689e-06,0.00178855996297957,4.43673228582948e-05,0.016482025468103
"TRIP12",6,5,3,9.73492419091872e-08,4.85362825581963e-05,0.0168278634227784,1,0.00105042813749312,0.585335632145429,1.54676687664346e-06,0.000637066200975805
"U2AF2",0,4,3,1,1,0.00489441144642733,1,7.66754011897076e-05,0.0631605283017479,0.00753295264910743,1
"UBTF",1,3,2,0.0820680566441403,1,0.0186431982697377,1,0.000725371653005504,0.429465354307571,0.00415966459059708,1
"UIMC1",0,6,0,1,1,0.0170618595642335,1,1,1,0.0299948836004482,1
"UPF3B",5,1,0,0.000218845279319832,0.0702752993558225,0.970201605075481,1,1,1,0.221153418656978,1
"USP9X",8,5,1,5.81297121720436e-08,3.14664436231868e-05,0.288942960552452,1,0.276085338119113,1,0.000322567503787942,0.111115707759388
"VEZF1",2,2,0,0.000737060623053383,0.221656358164594,0.0436773222392104,1,1,1,0.000571669167151749,0.186738690359604
"WAC",8,1,1,2.09225059906396e-14,1.8018081749939e-11,0.407754049837121,1,0.0599225851315785,1,1.57086098692755e-08,8.26709229398035e-06
"WDR26",2,2,0,1.09592753179683e-10,7.41551536336528e-08,5.19564338837866e-09,7.03118997401586e-06,1,1,7.73860243055172e-18,9.16347260307706e-15
"WHSC1",5,2,1,4.66998733638495e-07,0.000210660904940831,0.365996411295018,1,0.135989675483558,1,0.000687451000733334,0.220753333218538
"WNT7B",0,1,0,1,1,0.33068479382054,1,1,1,0.363646929054149,1
"WNT9A",1,0,0,0.0932288650892741,1,1,1,1,1,0.610016744056902,1
"YTHDF3",3,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB18",4,2,1,0.0112695285145539,1,0.990882291180765,1,0.010670181238825,1,0.769044311586462,1
"ZC3H4",2,4,1,0.0619529051278067,1,0.525584884875529,1,0.0900947557533729,1,0.246342962102535,1
"ZMYM2",2,1,0,0.0100962616239379,1,0.653621273699353,1,1,1,0.12257875213866,1
"ZMYND11",2,6,3,0.00110106638362167,0.316072783395397,1.13283645918689e-06,0.00102203426455975,4.24497089095461e-06,0.00574465846428758,5.96637352746074e-09,3.22968322432203e-06
"ZNF292",4,4,0,0.00103717390221924,0.302312257714549,0.544662091077134,1,1,1,0.0726667039015,1
