,gene,mip_case,mip_case_lof,mip_case_mis30,exac_lof,exac_mis30,Fisher_LGDp,Fisher_MIS30p,Fisher_LGDq,Fisher_MIS30q
22,SLC6A1,19847,1,18,0,9,0.304294497339895,0.000111499807187772,0.447491907852787,0.00696873794923575
23,SMARCC2,19847,7,4,1,7,0.00141713484887714,0.443041599971973,0.0073809106712351,0.644129590086805
24,STXBP1,19847,5,11,4,8,0.104141381636219,0.0118042870781085,0.206629725468688,0.105395420340254
25,TBL1XR1,19847,0,2,0,1,1,0.221429228057194,1,0.461310891785821
26,TBR1,19847,5,3,1,6,0.0116809819130831,0.548588621048781,0.0347648271222711,0.729506145011677
27,TCF7L2,19847,1,10,9,7,0.973446406027761,0.0140950269947097,1,0.11383732418887
28,TNRC6B,19847,10,12,6,16,0.0079564900170396,0.112288237215569,0.0255015705674346,0.330725553308756
29,TRIO,19847,11,22,3,35,0.000283132291115811,0.116968287109725,0.00221197102434227,0.330725553308756
30,TRIP12,19847,7,16,3,25,0.0115194002103739,0.152341452520341,0.0347648271222711,0.366205414712358
31,WAC,19847,9,12,2,14,0.000648963549043784,0.0664696073280008,0.00450669131280406,0.251778815636367
32,ZC3H4,19847,1,13,1,14,0.515997099395875,0.0401261725551318,0.672706818677331,0.192633885049733
33,ZMYND11,19847,3,6,1,8,0.0869767447410144,0.230423431577736,0.18427276428181,0.467840232787397
34,AHNAK,19538,26,11,30,10,0.00726444528146403,0.0270117568480709,0.0252237683384168,0.153361659259903
35,ANK2,19538,17,61,11,86,0.000760937795525444,0.00215672173680248,0.00480129610181174,0.0336987771375388
36,DLG4,19538,7,7,2,11,0.00437758207972473,0.281444300723047,0.0182399253321864,0.489576868884295
37,EPHB2,19538,3,37,2,53,0.164374584544232,0.0170362703745688,0.317154668654243,0.118307433156728
38,GABRB3,19538,2,3,0,7,0.090587428131171,0.619849917536257,0.188723808606606,0.782638784768001
39,KMT2E,19538,9,10,5,15,0.00847930644146135,0.192408599465143,0.0264978326295667,0.423797602755483
40,NAA15,19538,13,6,4,10,0.000106990615268917,0.343450558876786,0.00095527335061533,0.564885787626293
41,NCKAP1,19538,3,6,0,23,0.0272633102657529,0.908717055576538,0.0709982038170648,1
